                 U aclCreateIntArray
                 U aclCreateTensor
                 U aclDestroyTensor
                 U aclGetDataType
                 U aclGetFloatArraySize
000000000057d510 T aclnnInplaceGeTensor
0000000000581b20 T aclnnInplaceGeTensorGetWorkspaceSize
00000000005e1148 T aclnnInplaceGtScalar
00000000005e6e10 T aclnnInplaceGtScalarGetWorkspaceSize
00000000005e9040 T aclnnInplaceGtTensor
00000000005edcd0 T aclnnInplaceGtTensorGetWorkspaceSize
00000000005f13b8 T aclnnInplaceHardsigmoid
00000000005f3ec0 T aclnnInplaceHardsigmoidGetWorkspaceSize
00000000005f4168 T aclnnInplaceHardswish
00000000005f79f0 T aclnnInplaceHardswishGetWorkspaceSize
00000000005f7c98 T aclnnInplaceHardtanh
00000000005fcda8 T aclnnInplaceHardtanhGetWorkspaceSize
000000000061a0c0 T aclnnInplaceIndexCopy
0000000000622730 T aclnnInplaceIndexCopyGetWorkspaceSize
0000000000622b70 T aclnnInplaceIndexFillTensor
000000000062a148 T aclnnInplaceIndexFillTensorGetWorkspaceSize
0000000000659998 T aclnnInplaceLeScalar
0000000000660480 T aclnnInplaceLeScalarGetWorkspaceSize
00000000006626b0 T aclnnInplaceLeTensor
00000000006672e0 T aclnnInplaceLeTensorGetWorkspaceSize
00000000006676f8 T aclnnInplaceLeakyRelu
000000000066a278 T aclnnInplaceLeakyReluGetWorkspaceSize
0000000000671720 T aclnnInplaceLerp
0000000000677c00 T aclnnInplaceLerpGetWorkspaceSize
000000000066a5b0 T aclnnInplaceLerps
0000000000670ab8 T aclnnInplaceLerpsGetWorkspaceSize
000000000068ac00 T aclnnInplaceLog
0000000000690a68 T aclnnInplaceLog10
0000000000694f48 T aclnnInplaceLog10GetWorkspaceSize
0000000000695a70 T aclnnInplaceLog1p
0000000000699a18 T aclnnInplaceLog1pGetWorkspaceSize
000000000069aea8 T aclnnInplaceLog2
000000000069e420 T aclnnInplaceLog2GetWorkspaceSize
000000000068f840 T aclnnInplaceLogGetWorkspaceSize
00000000006ab798 T aclnnInplaceLogicalAnd
00000000006afb70 T aclnnInplaceLogicalAndGetWorkspaceSize
00000000006b0608 T aclnnInplaceLogicalNot
00000000006b4bb8 T aclnnInplaceLogicalNotGetWorkspaceSize
00000000006b5c98 T aclnnInplaceLogicalOr
00000000006ba650 T aclnnInplaceLogicalOrGetWorkspaceSize
00000000006cea58 T aclnnInplaceLtScalar
00000000006d3d20 T aclnnInplaceLtScalarGetWorkspaceSize
00000000006d3fc8 T aclnnInplaceLtTensor
00000000006d8cd0 T aclnnInplaceLtTensorGetWorkspaceSize
00000000006d8ea8 T aclnnInplaceMaskedFillScalar
00000000006da170 T aclnnInplaceMaskedFillScalarGetWorkspaceSize
00000000006dd000 T aclnnInplaceMaskedFillTensor
00000000006df5e8 T aclnnInplaceMaskedFillTensorGetWorkspaceSize
00000000006e2420 T aclnnInplaceMaskedScatter
00000000006e52d8 T aclnnInplaceMaskedScatterGetWorkspaceSize
000000000074f558 T aclnnInplaceMish
0000000000753760 T aclnnInplaceMishGetWorkspaceSize
000000000075c000 T aclnnInplaceMul
000000000075dbb8 T aclnnInplaceMulGetWorkspaceSize
000000000075bf30 T aclnnInplaceMuls
0000000000760e48 T aclnnInplaceMulsGetWorkspaceSize
0000000000766b78 T aclnnInplaceNanToNum
000000000076bf50 T aclnnInplaceNanToNumGetWorkspaceSize
000000000076e808 T aclnnInplaceNeScalar
0000000000775448 T aclnnInplaceNeScalarGetWorkspaceSize
0000000000777678 T aclnnInplaceNeTensor
000000000077c1e0 T aclnnInplaceNeTensorGetWorkspaceSize
000000000077c5f8 T aclnnInplaceNeg
000000000077f058 T aclnnInplaceNegGetWorkspaceSize
0000000000792878 T aclnnInplaceOne
0000000000792948 T aclnnInplaceOneGetWorkspaceSize
00000000007a2ac8 T aclnnInplacePowTensorScalar
00000000007a82f0 T aclnnInplacePowTensorScalarGetWorkspaceSize
00000000007ab118 T aclnnInplacePowTensorTensor
00000000007b0278 T aclnnInplacePowTensorTensorGetWorkspaceSize
00000000007be0f8 T aclnnInplacePut
00000000007c1b98 T aclnnInplacePutGetWorkspaceSize
00000000007d9fa0 T aclnnInplaceQuantScatter
00000000007de918 T aclnnInplaceQuantScatterGetWorkspaceSize
0000000000849b40 T aclnnInplaceRReluWithNoise
0000000000851a48 T aclnnInplaceRReluWithNoiseGetWorkspaceSize
00000000007e8260 T aclnnInplaceReciprocal
00000000007ec1f8 T aclnnInplaceReciprocalGetWorkspaceSize
00000000007ff8d0 T aclnnInplaceRelu
0000000000804038 T aclnnInplaceReluGetWorkspaceSize
00000000008058a8 T aclnnInplaceRemainderTensorScalar
0000000000809158 T aclnnInplaceRemainderTensorScalarGetWorkspaceSize
00000000008057d8 T aclnnInplaceRemainderTensorTensor
000000000080bac0 T aclnnInplaceRemainderTensorTensorGetWorkspaceSize
000000000080d168 T aclnnInplaceRenorm
0000000000813ed0 T aclnnInplaceRenormGetWorkspaceSize
0000000000841b38 T aclnnInplaceRound
0000000000841cd8 T aclnnInplaceRoundDecimals
0000000000847ed0 T aclnnInplaceRoundDecimalsGetWorkspaceSize
00000000008464e0 T aclnnInplaceRoundGetWorkspaceSize
0000000000851d08 T aclnnInplaceRsqrt
0000000000856b38 T aclnnInplaceRsqrtGetWorkspaceSize
0000000000864f48 T aclnnInplaceScatter
000000000086a810 T aclnnInplaceScatterGetWorkspaceSize
000000000087dbf8 T aclnnInplaceScatterUpdate
000000000087f6e8 T aclnnInplaceScatterUpdateGetWorkspaceSize
0000000000865018 T aclnnInplaceScatterValue
000000000086c0c0 T aclnnInplaceScatterValueGetWorkspaceSize
000000000088a058 T aclnnInplaceSelu
000000000088e0e8 T aclnnInplaceSeluGetWorkspaceSize
000000000088eb80 T aclnnInplaceSigmoid
0000000000893a18 T aclnnInplaceSigmoidGetWorkspaceSize
000000000089efb8 T aclnnInplaceSin
00000000008a3dc0 T aclnnInplaceSinGetWorkspaceSize
00000000008a5868 T aclnnInplaceSinc
00000000008aa9f8 T aclnnInplaceSincGetWorkspaceSize
00000000008ac4e8 T aclnnInplaceSinh
00000000008b0520 T aclnnInplaceSinhGetWorkspaceSize
00000000008e65b0 T aclnnInplaceSqrt
00000000008e99a0 T aclnnInplaceSqrtGetWorkspaceSize
00000000008fecf8 T aclnnInplaceSub
00000000009058a8 T aclnnInplaceSubGetWorkspaceSize
00000000008fee98 T aclnnInplaceSubs
0000000000904f08 T aclnnInplaceSubsGetWorkspaceSize
00000000009104b8 T aclnnInplaceTan
0000000000915010 T aclnnInplaceTanGetWorkspaceSize
0000000000916990 T aclnnInplaceTanh
000000000091c040 T aclnnInplaceTanhGetWorkspaceSize
000000000091cad8 T aclnnInplaceThreshold
0000000000922960 T aclnnInplaceThresholdGetWorkspaceSize
0000000000940c18 T aclnnInplaceTril
0000000000945048 T aclnnInplaceTrilGetWorkspaceSize
00000000009455e0 T aclnnInplaceTriu
000000000094b460 T aclnnInplaceTriuGetWorkspaceSize
000000000094d938 T aclnnInplaceTrunc
00000000009526b8 T aclnnInplaceTruncGetWorkspaceSize
0000000000998aa8 T aclnnInplaceXLogYScalarOther
000000000099d7e8 T aclnnInplaceXLogYScalarOtherGetWorkspaceSize
00000000009a53c8 T aclnnInplaceXLogYTensor
00000000009a96e8 T aclnnInplaceXLogYTensorGetWorkspaceSize
00000000009a9a30 T aclnnInplaceZero
00000000009a9b00 T aclnnInplaceZeroGetWorkspaceSize
0000000000636410 T aclnnInverse
0000000000637448 T aclnnInverseGetWorkspaceSize
00000000006398a8 T aclnnIsClose
000000000063d4f0 T aclnnIsCloseGetWorkspaceSize
0000000000640478 T aclnnIsInScalarTensor
0000000000646860 T aclnnIsInScalarTensorGetWorkspaceSize
00000000006482f8 T aclnnIsInTensorScalar
000000000064aa50 T aclnnIsInTensorScalarGetWorkspaceSize
000000000064d230 T aclnnKthvalue
0000000000650450 T aclnnKthvalueGetWorkspaceSize
0000000000651970 T aclnnLayerNorm
0000000000659628 T aclnnLayerNormGetWorkspaceSize
0000000000c01404 T aclnnLayerNormV4
0000000000c00e74 T aclnnLayerNormV4GetWorkspaceSize
00000000006518a0 T aclnnLayerNormWithImplMode
0000000000656fb0 T aclnnLayerNormWithImplModeGetWorkspaceSize
00000000006598c8 T aclnnLeScalar
000000000065e508 T aclnnLeScalarGetWorkspaceSize
00000000006625e0 T aclnnLeTensor
0000000000667158 T aclnnLeTensorGetWorkspaceSize
0000000000667628 T aclnnLeakyRelu
00000000006677c8 T aclnnLeakyReluGetWorkspaceSize
0000000000671650 T aclnnLerp
0000000000675740 T aclnnLerpGetWorkspaceSize
000000000066a4e0 T aclnnLerps
0000000000670128 T aclnnLerpsGetWorkspaceSize
000000000067a280 T aclnnLgamma
000000000067cdc0 T aclnnLgammaGetWorkspaceSize
000000000067d9a0 T aclnnLinalgVectorNorm
00000000006847f0 T aclnnLinalgVectorNormGetWorkspaceSize
0000000000685c88 T aclnnLinspace
0000000000687e90 T aclnnLinspaceGetWorkspaceSize
000000000068ab30 T aclnnLog
0000000000690998 T aclnnLog10
0000000000692138 T aclnnLog10GetWorkspaceSize
00000000006959a0 T aclnnLog1p
00000000006987c8 T aclnnLog1pGetWorkspaceSize
000000000069add8 T aclnnLog2
000000000069dc18 T aclnnLog2GetWorkspaceSize
000000000069ede8 T aclnnLogAddExp
00000000006a3340 T aclnnLogAddExp2
00000000006a5c88 T aclnnLogAddExp2GetWorkspaceSize
00000000006a1730 T aclnnLogAddExpGetWorkspaceSize
000000000068ed40 T aclnnLogGetWorkspaceSize
00000000006bf680 T aclnnLogSigmoid
00000000006bf750 T aclnnLogSigmoidForward
00000000006c4b48 T aclnnLogSigmoidForwardGetWorkspaceSize
00000000006c2da0 T aclnnLogSigmoidGetWorkspaceSize
00000000006c5138 T aclnnLogSoftmax
00000000006c6380 T aclnnLogSoftmaxGetWorkspaceSize
00000000006c8f88 T aclnnLogSumExp
00000000006cc270 T aclnnLogSumExpGetWorkspaceSize
00000000006a7898 T aclnnLogdet
00000000006a8e90 T aclnnLogdetGetWorkspaceSize
00000000006ab6c8 T aclnnLogicalAnd
00000000006af358 T aclnnLogicalAndGetWorkspaceSize
00000000006b0538 T aclnnLogicalNot
00000000006b32c0 T aclnnLogicalNotGetWorkspaceSize
00000000006b5bc8 T aclnnLogicalOr
00000000006ba4c8 T aclnnLogicalOrGetWorkspaceSize
00000000006ba998 T aclnnLogicalXor
00000000006bc830 T aclnnLogicalXorGetWorkspaceSize
00000000006ce988 T aclnnLtScalar
00000000006d2b68 T aclnnLtScalarGetWorkspaceSize
00000000006d3ef8 T aclnnLtTensor
00000000006d6a80 T aclnnLtTensorGetWorkspaceSize
00000000006e81f0 T aclnnMaskedSelect
00000000006e96a0 T aclnnMaskedSelectGetWorkspaceSize
0000000000c01e94 T aclnnMaskedSoftmaxWithRelPosBias
0000000000c01880 T aclnnMaskedSoftmaxWithRelPosBiasGetWorkspaceSize
0000000000c03160 T aclnnMatMulV3
0000000000c02c24 T aclnnMatMulV3GetWorkspaceSize
00000000006ec408 T aclnnMatmul
00000000006f24d0 T aclnnMatmulCompressDequant
00000000006f8090 T aclnnMatmulCompressDequantGetWorkspaceSize
00000000006f0270 T aclnnMatmulGetWorkspaceSize
0000000000c029b4 T aclnnMatmulLayerNormReduce
0000000000c0240c T aclnnMatmulLayerNormReduceGetWorkspaceSize
00000000007002d0 T aclnnMatmulReduceScatter
00000000006fd6c8 T aclnnMatmulReduceScatterGetWorkspaceSize
0000000000701940 T aclnnMax
0000000000704b08 T aclnnMaxDim
0000000000706f28 T aclnnMaxDimGetWorkspaceSize
0000000000703928 T aclnnMaxGetWorkspaceSize
0000000000707fc8 T aclnnMaxPool
00000000007104f8 T aclnnMaxPool2dWithIndices
00000000007194a8 T aclnnMaxPool2dWithIndicesGetWorkspaceSize
0000000000710428 T aclnnMaxPool2dWithMask
00000000007192c8 T aclnnMaxPool2dWithMaskGetWorkspaceSize
000000000070efd8 T aclnnMaxPoolGetWorkspaceSize
0000000000719960 T aclnnMaxUnpool2d
000000000071d088 T aclnnMaxUnpool2dGetWorkspaceSize
000000000071fd60 T aclnnMaxUnpool3d
00000000007273a0 T aclnnMaxUnpool3dGetWorkspaceSize
0000000000728540 T aclnnMaxV2
000000000072df08 T aclnnMaxV2GetWorkspaceSize
000000000072ef58 T aclnnMaximum
0000000000731950 T aclnnMaximumGetWorkspaceSize
0000000000734330 T aclnnMean
0000000000737b18 T aclnnMeanGetWorkspaceSize
0000000000734400 T aclnnMeanV2
000000000073a210 T aclnnMeanV2GetWorkspaceSize
000000000073c4c0 T aclnnMedian
000000000073c590 T aclnnMedianDim
0000000000740de0 T aclnnMedianDimGetWorkspaceSize
000000000073f590 T aclnnMedianGetWorkspaceSize
0000000000743b10 T aclnnMin
0000000000746cd8 T aclnnMinDim
00000000007490f8 T aclnnMinDimGetWorkspaceSize
0000000000745af8 T aclnnMinGetWorkspaceSize
000000000074a0b0 T aclnnMinimum
000000000074caa8 T aclnnMinimumGetWorkspaceSize
000000000074f488 T aclnnMish
0000000000750c60 T aclnnMishGetWorkspaceSize
00000000007546f8 T aclnnMm
000000000075a850 T aclnnMmGetWorkspaceSize
0000000000c03900 T aclnnMoeComputeExpertTokens
0000000000c03584 T aclnnMoeComputeExpertTokensGetWorkspaceSize
0000000000c0417c T aclnnMoeFinalizeRouting
0000000000c03bb0 T aclnnMoeFinalizeRoutingGetWorkspaceSize
0000000000c0499c T aclnnMoeGatingTopKSoftmax
0000000000c044dc T aclnnMoeGatingTopKSoftmaxGetWorkspaceSize
0000000000c05274 T aclnnMoeInitRouting
0000000000c04cfc T aclnnMoeInitRoutingGetWorkspaceSize
0000000000c05c10 T aclnnMoeInitRoutingQuant
0000000000c055d4 T aclnnMoeInitRoutingQuantGetWorkspaceSize
0000000000c0640c T aclnnMoeTutelCombineGates
0000000000c05f70 T aclnnMoeTutelCombineGatesGetWorkspaceSize
0000000000c06b70 T aclnnMoeTutelCombineX
0000000000c066d4 T aclnnMoeTutelCombineXGetWorkspaceSize
0000000000c07328 T aclnnMoeTutelDispatch
0000000000c06e38 T aclnnMoeTutelDispatchGetWorkspaceSize
0000000000c07994 T aclnnMrgbaCustom
0000000000c075f0 T aclnnMrgbaCustomGetWorkspaceSize
000000000075be60 T aclnnMul
000000000075c220 T aclnnMulGetWorkspaceSize
000000000075bd90 T aclnnMuls
000000000075f690 T aclnnMulsGetWorkspaceSize
0000000000c08408 T aclnnMultiHeadAttentionScore
0000000000c07c04 T aclnnMultiHeadAttentionScoreGetWorkspaceSize
0000000000762118 T aclnnMv
0000000000764ef8 T aclnnMvGetWorkspaceSize
000000000073c660 T aclnnNanMedian
000000000073c730 T aclnnNanMedianDim
0000000000742760 T aclnnNanMedianDimGetWorkspaceSize
0000000000740228 T aclnnNanMedianGetWorkspaceSize
0000000000766aa8 T aclnnNanToNum
0000000000769948 T aclnnNanToNumGetWorkspaceSize
000000000076e738 T aclnnNeScalar
00000000007734d0 T aclnnNeScalarGetWorkspaceSize
00000000007775a8 T aclnnNeTensor
000000000077c058 T aclnnNeTensorGetWorkspaceSize
000000000077c528 T aclnnNeg
000000000077c6c8 T aclnnNegGetWorkspaceSize
0000000000c08b14 T aclnnNonFiniteCheck
0000000000c08678 T aclnnNonFiniteCheckGetWorkspaceSize
000000000077f230 T aclnnNonzero
000000000077f300 T aclnnNonzeroGetWorkspaceSize
0000000000781b68 T aclnnNonzeroV2
0000000000781c38 T aclnnNonzeroV2GetWorkspaceSize
00000000007844a0 T aclnnNorm
00000000007894f8 T aclnnNormGetWorkspaceSize
000000000078b488 T aclnnOneHot
0000000000790358 T aclnnOneHotGetWorkspaceSize
0000000000795058 T aclnnPdist
000000000079a418 T aclnnPdistForward
000000000079b898 T aclnnPdistForwardGetWorkspaceSize
00000000007985c0 T aclnnPdistGetWorkspaceSize
000000000079e330 T aclnnPermute
000000000079ff98 T aclnnPermuteGetWorkspaceSize
00000000007a2b98 T aclnnPowScalarTensor
00000000007a8300 T aclnnPowScalarTensorGetWorkspaceSize
00000000007a29f8 T aclnnPowTensorScalar
00000000007a5688 T aclnnPowTensorScalarGetWorkspaceSize
00000000007ab1e8 T aclnnPowTensorTensor
00000000007adab8 T aclnnPowTensorTensorGetWorkspaceSize
0000000000c093c4 T aclnnPows
0000000000c09020 T aclnnPowsGetWorkspaceSize
00000000007b0450 T aclnnPrelu
00000000007b4180 T aclnnPreluGetWorkspaceSize
00000000007b5560 T aclnnProd
00000000007b5490 T aclnnProdDim
00000000007bcc38 T aclnnProdDimGetWorkspaceSize
00000000007b8f90 T aclnnProdGetWorkspaceSize
0000000000c09e40 T aclnnQuantBatchMatmulV3
0000000000c09854 T aclnnQuantBatchMatmulV3GetWorkspaceSize
00000000007c4608 T aclnnQuantMatmul
00000000007c6f08 T aclnnQuantMatmulGetWorkspaceSize
00000000007c46d8 T aclnnQuantMatmulV2
00000000007c9500 T aclnnQuantMatmulV2GetWorkspaceSize
00000000007cac70 T aclnnQuantMatmulV3
00000000007d0b38 T aclnnQuantMatmulV3GetWorkspaceSize
00000000007d2898 T aclnnQuantMatmulV4
00000000007d8820 T aclnnQuantMatmulV4GetWorkspaceSize
0000000000c0b040 T aclnnQuantizeAddLayerNorm
0000000000c0a734 T aclnnQuantizeAddLayerNormGetWorkspaceSize
0000000000849a70 T aclnnRReluWithNoise
000000000084ffb8 T aclnnRReluWithNoiseGetWorkspaceSize
00000000007e09d0 T aclnnRange
00000000007e2568 T aclnnRangeGetWorkspaceSize
00000000007e5428 T aclnnReal
00000000007e54f8 T aclnnRealGetWorkspaceSize
00000000007e8190 T aclnnReciprocal
00000000007e9d00 T aclnnReciprocalGetWorkspaceSize
00000000007ec3d0 T aclnnReduceSum
00000000007f0660 T aclnnReduceSumGetWorkspaceSize
00000000007f1b48 T aclnnReflectionPad1d
00000000007f3070 T aclnnReflectionPad1dGetWorkspaceSize
00000000007f5da8 T aclnnReflectionPad2d
00000000007f8138 T aclnnReflectionPad2dGetWorkspaceSize
00000000007faa88 T aclnnReflectionPad3d
00000000007fcec8 T aclnnReflectionPad3dGetWorkspaceSize
00000000007ff800 T aclnnRelu
0000000000802dd8 T aclnnReluGetWorkspaceSize
0000000000805708 T aclnnRemainderScalarTensor
000000000080a140 T aclnnRemainderScalarTensorGetWorkspaceSize
0000000000805638 T aclnnRemainderTensorScalar
000000000080c180 T aclnnRemainderTensorScalarGetWorkspaceSize
0000000000805568 T aclnnRemainderTensorTensor
000000000080b3f0 T aclnnRemainderTensorTensorGetWorkspaceSize
000000000080d098 T aclnnRenorm
0000000000813098 T aclnnRenormGetWorkspaceSize
00000000008140a8 T aclnnRepeat
0000000000816c08 T aclnnRepeatGetWorkspaceSize
0000000000817fa8 T aclnnRepeatInterleave
00000000008197e8 T aclnnRepeatInterleaveGetWorkspaceSize
0000000000818148 T aclnnRepeatInterleaveInt
000000000081ce28 T aclnnRepeatInterleaveIntGetWorkspaceSize
0000000000818218 T aclnnRepeatInterleaveIntWithDim
000000000081e180 T aclnnRepeatInterleaveIntWithDimGetWorkspaceSize
00000000008182e8 T aclnnRepeatInterleaveTensor
000000000081f6c8 T aclnnRepeatInterleaveTensorGetWorkspaceSize
0000000000818078 T aclnnRepeatInterleaveWithDim
000000000081b840 T aclnnRepeatInterleaveWithDimGetWorkspaceSize
0000000000820b58 T aclnnReplicationPad1d
0000000000822048 T aclnnReplicationPad1dGetWorkspaceSize
0000000000824da8 T aclnnReplicationPad2d
0000000000826298 T aclnnReplicationPad2dGetWorkspaceSize
0000000000828fd0 T aclnnReplicationPad3d
000000000082a4c0 T aclnnReplicationPad3dGetWorkspaceSize
000000000082d230 T aclnnResize
0000000000831960 T aclnnResizeGetWorkspaceSize
0000000000c0b95c T aclnnRfft1D
0000000000c0b54c T aclnnRfft1DGetWorkspaceSize
0000000000c0c1fc T aclnnRmsNorm
0000000000c0bc0c T aclnnRmsNormGetWorkspaceSize
0000000000832ed8 T aclnnRoiAlign
0000000000838b58 T aclnnRoiAlignGetWorkspaceSize
000000000083a9e8 T aclnnRoll
0000000000840070 T aclnnRollGetWorkspaceSize
0000000000841a68 T aclnnRound
0000000000841c08 T aclnnRoundDecimals
00000000008464f0 T aclnnRoundDecimalsGetWorkspaceSize
00000000008450e0 T aclnnRoundGetWorkspaceSize
0000000000851c38 T aclnnRsqrt
00000000008558e8 T aclnnRsqrtGetWorkspaceSize
00000000008575d0 T aclnnRsub
00000000008593c8 T aclnnRsubGetWorkspaceSize
0000000000857500 T aclnnRsubs
000000000085baf0 T aclnnRsubsGetWorkspaceSize
0000000000c0f000 T aclnnSTFT
0000000000c0ea20 T aclnnSTFTGetWorkspaceSize
000000000085e408 T aclnnSWhere
0000000000861d58 T aclnnSWhereGetWorkspaceSize
0000000000864da8 T aclnnScatter
000000000086c5b0 T aclnnScatterAdd
00000000008701f0 T aclnnScatterAddGetWorkspaceSize
00000000008692c8 T aclnnScatterGetWorkspaceSize
0000000000c0cd44 T aclnnScatterList
0000000000c0c7e0 T aclnnScatterListGetWorkspaceSize
0000000000872e18 T aclnnScatterNd
0000000000876678 T aclnnScatterNdGetWorkspaceSize
0000000000879608 T aclnnScatterNdUpdate
000000000087ace0 T aclnnScatterNdUpdateGetWorkspaceSize
0000000000864e78 T aclnnScatterValue
000000000086a4d0 T aclnnScatterValueGetWorkspaceSize
0000000000882608 T aclnnSearchSorted
0000000000884cc0 T aclnnSearchSortedGetWorkspaceSize
00000000008826d8 T aclnnSearchSorteds
0000000000889638 T aclnnSearchSortedsGetWorkspaceSize
0000000000889f88 T aclnnSelu
000000000088ce98 T aclnnSeluGetWorkspaceSize
000000000088eab0 T aclnnSigmoid
00000000008927b8 T aclnnSigmoidGetWorkspaceSize
00000000008943e0 T aclnnSign
00000000008956f8 T aclnnSignGetWorkspaceSize
00000000008977e8 T aclnnSignbit
0000000000899c08 T aclnnSignbitGetWorkspaceSize
000000000089b6c8 T aclnnSilu
000000000089ce68 T aclnnSiluGetWorkspaceSize
000000000089eee8 T aclnnSin
00000000008a2b60 T aclnnSinGetWorkspaceSize
00000000008a5798 T aclnnSinc
00000000008a97a8 T aclnnSincGetWorkspaceSize
00000000008ac418 T aclnnSinh
00000000008af2d0 T aclnnSinhGetWorkspaceSize
00000000008b0ee8 T aclnnSlice
00000000008b4858 T aclnnSliceGetWorkspaceSize
00000000008b6918 T aclnnSliceV2
00000000008ba0e8 T aclnnSliceV2GetWorkspaceSize
00000000008bbfb0 T aclnnSlogdet
00000000008bf490 T aclnnSlogdetGetWorkspaceSize
00000000008c14d8 T aclnnSoftmax
00000000008c1818 T aclnnSoftmaxGetWorkspaceSize
00000000008c4318 T aclnnSoftplus
00000000008c8078 T aclnnSoftplusGetWorkspaceSize
00000000008ca9b0 T aclnnSoftshrink
00000000008cc2a0 T aclnnSoftshrinkGetWorkspaceSize
00000000008cef20 T aclnnSort
00000000008d4d58 T aclnnSortGetWorkspaceSize
00000000008d6d48 T aclnnSplitTensor
00000000008dd4a0 T aclnnSplitTensorGetWorkspaceSize
00000000008dec10 T aclnnSplitWithSize
00000000008e3e28 T aclnnSplitWithSizeGetWorkspaceSize
00000000008e64e0 T aclnnSqrt
00000000008e7660 T aclnnSqrtGetWorkspaceSize
00000000008e9e80 T aclnnStack
0000000000c0de00 T aclnnStackBallQuery
0000000000c0d8b0 T aclnnStackBallQueryGetWorkspaceSize
00000000008ed430 T aclnnStackGetWorkspaceSize
0000000000c0e718 T aclnnStackGroupPoints
0000000000c0e27c T aclnnStackGroupPointsGetWorkspaceSize
00000000008ef350 T aclnnStd
00000000008f3c80 T aclnnStdGetWorkspaceSize
00000000008f6ac0 T aclnnStdMeanCorrection
00000000008fbe20 T aclnnStdMeanCorrectionGetWorkspaceSize
00000000008fec28 T aclnnSub
00000000008fff70 T aclnnSubGetWorkspaceSize
00000000008fedc8 T aclnnSubs
00000000009022b8 T aclnnSubsGetWorkspaceSize
0000000000905d68 T aclnnSum
0000000000909a48 T aclnnSumGetWorkspaceSize
0000000000c0f6d8 T aclnnSwiGlu
0000000000c0f360 T aclnnSwiGluGetWorkspaceSize
0000000000c0ffb4 T aclnnSwinAttentionFFN
0000000000c0fad0 T aclnnSwinAttentionFFNGetWorkspaceSize
0000000000c10a24 T aclnnSwinAttentionScore
0000000000c10224 T aclnnSwinAttentionScoreGetWorkspaceSize
0000000000c11480 T aclnnSwinTransformerLnQKV
0000000000c10c94 T aclnnSwinTransformerLnQKVGetWorkspaceSize
000000000090b9c0 T aclnnTake
000000000090f630 T aclnnTakeGetWorkspaceSize
00000000009103e8 T aclnnTan
0000000000912188 T aclnnTanGetWorkspaceSize
00000000009168c0 T aclnnTanh
000000000091adf0 T aclnnTanhGetWorkspaceSize
000000000091ca08 T aclnnThreshold
00000000009204c8 T aclnnThresholdGetWorkspaceSize
0000000000c11ce8 T aclnnTomeMerge
0000000000c116f0 T aclnnTomeMergeGetWorkspaceSize
0000000000c124c0 T aclnnTomeUnmerge
0000000000c11f58 T aclnnTomeUnmergeGetWorkspaceSize
0000000000925108 T aclnnTopk
000000000092ae30 T aclnnTopkGetWorkspaceSize
000000000092c110 T aclnnTrace
000000000092c1e0 T aclnnTraceGetWorkspaceSize
000000000092f020 T aclnnTransMatmulWeight
00000000009327e8 T aclnnTransMatmulWeightGetWorkspaceSize
0000000000934478 T aclnnTransQuantParam
00000000009355b0 T aclnnTransQuantParamV2
0000000000936af8 T aclnnTransQuantParamV2GetWorkspaceSize
00000000009388b0 T aclnnTriangularSolve
000000000093db60 T aclnnTriangularSolveGetWorkspaceSize
0000000000940b48 T aclnnTril
0000000000943200 T aclnnTrilGetWorkspaceSize
0000000000945510 T aclnnTriu
0000000000949220 T aclnnTriuGetWorkspaceSize
000000000094d868 T aclnnTrunc
00000000009511d0 T aclnnTruncGetWorkspaceSize
00000000009532f0 T aclnnUnique
0000000000958bf8 T aclnnUnique2
000000000095cd00 T aclnnUnique2GetWorkspaceSize
000000000095fa70 T aclnnUniqueConsecutive
0000000000964508 T aclnnUniqueConsecutiveGetWorkspaceSize
0000000000957de8 T aclnnUniqueGetWorkspaceSize
00000000009667a8 T aclnnUpsampleBilinear2d
000000000096ccf8 T aclnnUpsampleBilinear2dGetWorkspaceSize
000000000096df38 T aclnnUpsampleLinear1d
0000000000971ba8 T aclnnUpsampleLinear1dGetWorkspaceSize
00000000009740d8 T aclnnUpsampleNearest1d
0000000000978088 T aclnnUpsampleNearest1dGetWorkspaceSize
0000000000979378 T aclnnUpsampleNearest2d
000000000097c978 T aclnnUpsampleNearest2dGetWorkspaceSize
000000000097d868 T aclnnUpsampleNearest3d
00000000009835a8 T aclnnUpsampleNearest3dGetWorkspaceSize
0000000000984528 T aclnnUpsampleTrilinear3d
000000000098a6d8 T aclnnUpsampleTrilinear3dGetWorkspaceSize
000000000098b740 T aclnnVar
000000000098b810 T aclnnVarCorrection
000000000098e528 T aclnnVarCorrectionGetWorkspaceSize
0000000000990d00 T aclnnVarGetWorkspaceSize
0000000000993540 T aclnnVarMean
0000000000995930 T aclnnVarMeanGetWorkspaceSize
00000000009989d8 T aclnnXLogYScalarOther
000000000099b870 T aclnnXLogYScalarOtherGetWorkspaceSize
000000000099f948 T aclnnXLogYScalarSelf
00000000009a4520 T aclnnXLogYScalarSelfGetWorkspaceSize
00000000009a52f8 T aclnnXLogYTensor
00000000009a9560 T aclnnXLogYTensorGetWorkspaceSize
